Material,Temp.,Origin,RN,Name,Identifier_1,Identifier_2,Identifier_3,Gam
H H2O bound natural Hydrogen,296K,ENDF/B-VIIR0,Y,HYDROGEN,1,-2,296,Y
H CH2 bound natural Hydrogen,296K,ENDF/B-VIIR0,Y,HYDROGEN,1,-3,296,Y
H Free gas natural Hydrogen,296K,ENDF/B-VIIR0,Y,HYDROGEN,1,-5,296,Y
H Free gas natural Hydrogen,87K,ENDF/B-VIIR0,Y,HYDROGEN,1,-2,87,Y
H Free gas natural Hydrogen,4K,ENDF/B-VIIR0,Y,HYDROGEN,1,-5,4,Y
H Free gas natural Hydrogen,430K,ENDF/B-VIIR0,Y,HYDROGEN,1,-5,430,Y
1H H2O bound Hydrogen 1,296K,ENDF/B-VIIR0,Y,HYDROG-1,1,+1,296,Y
1H CH2 bound Hydrogen 1,296K,ENDF/B-VIIR0,Y,HYDROG-1,1,+11,296,Y
1H Free gas Hydrogen 1,296K,ENDF/B-VIIR0,Y,HYDROG-1,1,+31,296,Y
1H Free gas Hydrogen 1,87K,ENDF/B-VIIR0,Y,HYDROG-1,1,+1,87,Y
2H D2O bound Deuterium,296K,ENDF/B-VIIR0,Y,DEUTERIU,1,+2,296,Y
2H Free gas Deuterium,296K,ENDF/B-VIIR0,Y,DEUTERIU,1,+32,296,Y
2H Free gas Deuterium,87K,ENDF/B-VIIR0,Y,DEUTERIU,1,+2,87,Y
3H Free gas Tritium,296K,ENDF/B-VIIR0,Y,TRITIUM,1,+4,296,Y
3H Free gas Tritium,87K,ENDF/B-VIIR0,Y,TRITIUM,1,+4,87,Y
He Natural Helium,296K,ENDF/B-VIIR0,Y,HELIUM,2,-2,296,Y
He Natural Helium,87K,ENDF/B-VIIR0,Y,HELIUM,2,-2,87,Y
He Natural Helium,4K,ENDF/B-VIIR0,Y,HELIUM,2,-2,4,Y
3He Helium 3,296K,ENDF/B-VIIR0,Y,HELIUM-3,2,3,296,Y
3He Helium 3,87K,ENDF/B-VIIR0,Y,HELIUM-3,2,3,87,Y
3He Helium 3,4K,ENDF/B-VIIR0,Y,HELIUM-3,2,3,4,Y
4He Helium 4,296K,ENDF/B-VIIR0,Y,HELIUM-4,2,4,296,Y
4He Helium 4,87K,ENDF/B-VIIR0,Y,HELIUM-4,2,4,87,Y
4He Helium 4,4K,ENDF/B-VIIR0,Y,HELIUM-4,2,4,4,Y
Li Natural Lithium,296K,ENDF/B-VIIIR0,Y,LITHIUM,3,-2,296,Y
Li Natural Lithium,87K,ENDF/B-VIIIR0,Y,LITHIUM,3,-2,87,Y
6Li Lithium 6,296K,ENDF/B-VIIIR0,Y,LITHIU-6,3,6,296,Y
6Li Lithium 6,87K,ENDF/B-VIIIR0,Y,LITHIU-6,3,6,87,Y
7Li Lithium 7,296K,ENDF/B-VIIIR0,Y,LITHIU-7,3,7,296,Y
7Li Lithium 7,87K,ENDF/B-VIIIR0,Y,LITHIU-7,3,7,87,Y
9Be Beryllium 9,296K,ENDF/B-VIIIR0,Y,BERYLLIU,4,9,296,Y
9Be Beryllium 9,87K,ENDF/B-VIIIR0,Y,BERYLLIU,4,9,87,Y
B Natural Boron,296K,ENDF/B-VIIIR0,Y,BORON,5,-2,296,Y
B Natural Boron,87K,ENDF/B-VIIIR0,Y,BORON,5,-2,87,Y
10B Boron 10,296K,JENDL-4.0,Y,BORON-10,5,10,296,Y
10B Boron 10,87K,JENDL-4.0,Y,BORON-10,5,10,87,Y
11B Boron 11,296K,ENDF/B-VIIIR0,Y,BORON-11,5,11,296,Y
11B Boron 11,87K,ENDF/B-VIIIR0,Y,BORON-11,5,11,87,Y
C Free gas natural Carbon,296K,ENDF/B-VIIIR0,Y,CARBON,6,-2,296,Y
C Free gas natural Carbon,87K,ENDF/B-VIIIR0,Y,CARBON,6,-2,87,Y
C Free gas natural Carbon,4K,ENDF/B-VIIIR0,Y,CARBON,6,-2,4,Y
C Free gas natural Carbon,430K,ENDF/B-VIIIR0,Y,CARBON,6,-2,430,Y
C Graphite bound nat. Carbon,296K,ENDF/B-VIIIR0,Y,CARBON,6,-3,296,Y
12C Carbon 12,296K,ENDF/B-VIIIR0,Y,CARBON,6,12,296,Y
12C Carbon 12,87K,ENDF/B-VIIIR0,Y,CARBON,6,12,87,Y
N Natural Nitrogen,296K,ENDF/B-VIIIR0,Y,NITROGEN,7,-2,296,Y
N Natural Nitrogen,87K,ENDF/B-VIIIR0,Y,NITROGEN,7,-2,87,Y
14N Nitrogen 14,296K,ENDF/B-VIIIR0,Y,NITRO-14,7,14,296,Y
14N Nitrogen 14,87K,ENDF/B-VIIIR0,Y,NITRO-14,7,14,87,Y
O Natural Oxygen,296K,ENDF/B-VIIIR0,Y,OXYGEN,8,-2,296,Y
O Natural Oxygen,87K,ENDF/B-VIIIR0,Y,OXYGEN,8,-2,87,Y
O Natural Oxygen,4K,ENDF/B-VIIIR0,Y,OXYGEN,8,-2,4,Y
O Natural Oxygen,430K,ENDF/B-VIIIR0,Y,OXYGEN,8,-2,430,Y
16O Oxygen 16,296K,ENDF/B-VIIIR0,Y,OXYGE-16,8,16,296,Y
16O Oxygen 16,87K,ENDF/B-VIIIR0,Y,OXYGE-16,8,16,87,Y
19F Fluorine 19,296K,ENDF/B-VIIIR0,Y,FLUORINE,9,19,296,Y
19F Fluorine 19,87K,ENDF/B-VIIIR0,Y,FLUORINE,9,19,87,Y
Ne Natural Neon,296K,TENDL-19,Y,NEON,10,-2,296,Y
23Na Sodium 23,296K,ENDF/B-VIIIR0,Y,SODIUM,11,23,296,Y
23Na Sodium 23,87K,ENDF/B-VIIIR0,Y,SODIUM,11,23,87,Y
Mg Natural Magnesium,296K,ENDF/B-VIIIR0,Y,MAGNESIU,12,-2,296,Y
Mg Natural Magnesium,87K,ENDF/B-VIIIR0,Y,MAGNESIU,12,-2,87,Y
27Al Aluminium 27,296K,ENDF/B-VIIIR0,Y,ALUMINUM,13,27,296,Y
27Al Aluminium 27,87K,ENDF/B-VIIIR0,Y,ALUMINUM,13,27,87,Y
27Al Aluminium 27,4K,ENDF/B-VIIIR0,Y,ALUMINUM,13,27,4,Y
27Al Aluminium 27,430K,ENDF/B-VIIIR0,Y,ALUMINUM,13,27,430,Y
27Al Aluminium 27 SelfShielded,296K,ENDF/B-VIIIR0,Y,ALUMINUM,13,1027,296,Y
27Al Aluminium 27 SelfShielded,87K,ENDF/B-VIIIR0,Y,ALUMINUM,13,1027,87,Y
27Al Aluminium 27 SelfShielded,4K,ENDF/B-VIIIR0,Y,ALUMINUM,13,1027,4,Y
27Al Aluminium 27 SelfShielded,430K,ENDF/B-VIIIR0,Y,ALUMINUM,13,1027,430,Y
Si Natural Silicon,296K,ENDF/B-VIIIR0,Y,SILICON,14,-2,296,Y
Si Natural Silicon,87K,ENDF/B-VIIIR0,Y,SILICON,14,-2,87,Y
28Si Silicon 28,296K,ENDF/B-VIIIR0,Y,SILIC-28,14,28,296,Y
28Si Silicon 28,87K,ENDF/B-VIIIR0,Y,SILIC-28,14,28,87,Y
31P Phosphorus 31,296K,ENDF/B-VIIIR0,Y,PHOSPHO,15,31,296,Y
31P Phosphorus 31,87K,ENDF/B-VIIIR0,Y,PHOSPHO,15,31,87,Y
S Natural Sulphur (1),296K,JENDL-3.3,Y,SULFUR,16,-2,296,Y
S Natural Sulphur (1),87K,JENDL-3.3,Y,SULFUR,16,-2,87,Y
Cl Natural Chlorine,296K,ENDF/B-VIIR0,Y,CHLORINE,17,-2,296,Y
Cl Natural Chlorine,87K,ENDF/B-VIIR0,Y,CHLORINE,17,-2,87,Y
Ar Natural Argon,296K,ENDF/B-VIIIR0,Y,ARGON,18,-2,296,Y
Ar Natural Argon,87K,ENDF/B-VIIIR0,Y,ARGON,18,-2,87,Y
Ar Natural Argon SelfShielded,296K,ENDF/B-VIIIR0,Y,ARGON,18,-4,296,Y
Ar Natural Argon SelfShielded,87K,ENDF/B-VIIIR0,Y,ARGON,18,-4,87,Y
40Ar Argon 40,296K,ENDF/B-VIIIR0,Y,ARGON-40,18,40,296,Y
40Ar Argon 40,87K,ENDF/B-VIIIR0,Y,ARGON-40,18,40,87,Y
40Ar Argon 40 SelfShielded,296K,ENDF/B-VIIIR0,Y,ARGON-40,18,1040,296,Y
40Ar Argon 40 SelfShielded,87K,ENDF/B-VIIIR0,Y,ARGON-40,18,1040,87,Y
K Natural Potassium,296K,ENDF/B-VIIR1,Y,POTASSIU,19,-2,296,Y
K Natural Potassium,87K,ENDF/B-VIIR1,Y,POTASSIU,19,-2,87,Y
Ca Natural Calcium (2),296K,ENDF/B-VIIR0,Y,CALCIUM,20,-2,296,Y
Ca Natural Calcium (2),87K,ENDF/B-VIIR0,Y,CALCIUM,20,-2,87,Y
45Sc Scandium 45 (2),296K,ENDF/B-VIIR0,Y,SCANDIUM,21,45,296,Y
45Sc Scandium 45 (2),87K,ENDF/B-VIIR0,Y,SCANDIUM,21,45,87,Y
Ti Natural Titanium,296K,ENDF/B-VIIR1,Y,TITANIUM,22,-2,296,Y
Ti Natural Titanium,87K,ENDF/B-VIIR1,Y,TITANIUM,22,-2,87,Y
